iter	Passed	Remaining
0	2	296
1	5	264
2	8	264
3	9	237
4	12	234
5	13	219
6	16	214
7	18	212
8	20	204
9	22	200
10	24	196
11	26	193
12	28	188
13	30	185
14	32	183
15	34	182
16	36	177
17	38	173
18	40	170
19	41	167
20	44	166
21	46	164
22	48	163
23	50	160
24	52	157
25	54	155
26	56	152
27	58	149
28	60	147
29	61	143
30	63	142
31	65	139
32	67	136
33	69	134
34	71	132
35	72	129
36	74	126
37	75	123
38	76	120
39	79	119
40	81	117
41	82	113
42	83	110
43	85	108
44	87	106
45	88	104
46	91	102
47	93	101
48	95	99
49	97	97
50	99	95
51	101	93
52	103	91
53	104	89
54	106	86
55	108	85
56	110	83
57	112	81
58	114	79
59	116	77
60	118	75
61	119	73
62	121	71
63	123	69
64	125	67
65	126	65
66	128	63
67	130	61
68	132	59
69	134	57
70	136	55
71	138	53
72	139	51
73	141	49
74	143	47
75	144	45
76	145	43
77	146	41
78	147	39
79	149	37
80	150	35
81	152	33
82	154	31
83	156	29
84	158	27
85	159	25
86	160	24
87	162	22
88	163	20
89	164	18
90	166	16
91	168	14
92	169	12
93	171	10
94	172	9
95	173	7
96	174	5
97	176	3
98	177	1
99	178	0
